ses_var,threshold,decile,n_voters,tau_F,se_F,p_F,ci_lo_F,ci_hi_F,bw_F,post_F,post_lo_F,post_hi_F,n_eff_l_F,n_eff_r_F,tau_M,se_M,p_M,ci_lo_M,ci_hi_M,bw_M,post_M,post_lo_M,post_hi_M,n_eff_l_M,n_eff_r_M,gap_MF,se_gap,p_gap
nbi,70,1,201525,-0.056680081975823526,0.01147196008989538,7.782280735971708e-07,-0.08089311528256372,-0.02761687898066866,256.1707706402717,0.724806181114406,0.7121260222159015,0.7374863400129105,13055,12977,-0.04287131235649877,0.011644515611834974,0.00023170741565878278,-0.06785612034028175,-0.013434957166260992,314.3599926694428,0.7347155445841429,0.7217507282685316,0.7476803608997542,12904,12552,0.013808769619324757,0.016346272117471337,0.3982416821424244
nbi,70,2,200627,-0.040981505215637815,0.011031817594513315,0.000203327357189672,-0.06094642712444052,-0.012146697002400807,296.42394375978193,0.7142624131235872,0.7019121305802906,0.7266126956668838,14801,14779,-0.03826939119712813,0.009948337347705033,0.00011966434075712187,-0.06072809038420336,-0.013977540291432371,421.95060024778417,0.7354924293387276,0.7243282849791195,0.7466565736983357,18032,17198,0.0027121140185096815,0.014854979482394325,0.855133290352504
nbi,70,3,201977,-0.06250046319285585,0.009901108774837363,2.74614721764193e-10,-0.08128910103921375,-0.036646038398228414,375.52775512803044,0.6957108875584214,0.6846411056676593,0.7067806694491834,19291,18961,-0.0428696175824933,0.012449783187053365,0.0005744431634466846,-0.06953776697891942,-0.011402104946930204,280.7120347737968,0.7184504397953633,0.7048390451938152,0.7320618343969113,11887,11534,0.019630845610362546,0.015906887073711126,0.21716198322022606
nbi,70,4,202217,-0.04437946469531662,0.011549357983211527,0.00012174200971879906,-0.06598409581441686,-0.01409876256593437,282.599900215526,0.7037169103021488,0.6909633525666453,0.7164704680376522,14129,14037,-0.051073309606990636,0.011756764585025496,1.3980725453705243e-05,-0.08124115430899809,-0.027206603822950863,305.8109884161885,0.7103472620596721,0.6972520430259651,0.7234424810933792,13107,12719,-0.006693844911674018,0.0164805698727951,0.6846207335903198
nbi,70,5,200212,-0.04297616768651957,0.01346486836410102,0.0014142552309931748,-0.06798688256645906,-0.007755076810256851,220.28990718831272,0.6798618566394299,0.6650510067744778,0.694672706504382,10930,10727,-0.02882998786352442,0.013708031199783663,0.035453028858762024,-0.0536033823186161,0.0070674169478407885,235.0474597996353,0.7061805869507831,0.6911529435490207,0.7212082303525456,9838,9791,0.014146179822995153,0.019214910862057382,0.46160384805415977
nbi,70,6,201251,-0.08340755559678958,0.010570087138832748,3.00002478463884e-15,-0.11010691395497862,-0.06075434346504615,350.9524132933375,0.6684783579788558,0.6567225720872134,0.6802341438704982,17431,17191,-0.046056464318324775,0.009976071078389149,3.899021265496945e-06,-0.06977177020722951,-0.022838521031889176,432.48126858400644,0.7128108772319661,0.7017011031137815,0.7239206513501507,18923,18268,0.03735109127846481,0.014534398380517507,0.010174523348021713
nbi,70,7,199764,-0.05588906176140096,0.010004749273169949,2.320210027644708e-08,-0.08018327433451185,-0.032988910504782074,413.9285343771421,0.6787069719559456,0.6675485937454767,0.6898653501664146,20552,19703,-0.02857675227903933,0.012728969444831883,0.024767043849230574,-0.05344794850434122,0.004604200371836408,280.1157451434561,0.6981937685317104,0.6843468427332269,0.712040694330194,12164,11772,0.02731230948236163,0.01619017205425743,0.09160941839784997
nbi,70,8,202315,-0.058566402323890654,0.009932628324085683,3.7159643724453596e-09,-0.0833607944876784,-0.03706836251223923,410.4593261551862,0.6749360917405938,0.6639290398057246,0.6859431436754629,20259,19680,-0.011358016814238425,0.011278487500335613,0.31391006638313856,-0.03500664633483487,0.017336572914762552,348.1933258518603,0.6993982426447714,0.6871534019572816,0.7116430833322611,15844,15053,0.04720838550965223,0.015028685428860896,0.0016824642920394428
nbi,70,9,201587,-0.03464781037286091,0.01224608534152058,0.004665041009418487,-0.06015259391948214,-0.00324533082874489,283.7508923881172,0.6703183593004811,0.6570540027660853,0.683582715834877,13419,13428,-0.03939332226245518,0.012119568262936723,0.001152468839149078,-0.06573048418089986,-0.009042434490955903,300.7917985839279,0.6869392289837108,0.6736422222806194,0.7002362356868023,13658,13026,-0.004745511889594267,0.01722935115063212,0.782984484910834
nbi,70,10,199269,-0.028677593576110327,0.013569528903042331,0.034568114049562865,-0.05471274170970709,0.006726184778709905,264.3291588828598,0.6595430962994582,0.6450846210827108,0.6740015715162055,11607,11557,-0.020253801296501672,0.011989144010178667,0.09115332150115027,-0.047244844071574796,0.009376123961936867,320.730178261116,0.6664000704259404,0.6534641256985679,0.6793360151533129,15096,14263,0.008423792279608655,0.018107227527904547,0.6417759783997707
pca_index,18,1,313602,0.26880928570381735,0.012862880478367441,5.576226458259975e-97,0.23521896937204154,0.2933095646486054,133.22489702725267,0.8389358687815116,0.8271784073348606,0.8506933302281626,10782,10551,0.23237464017349352,0.014678853801025885,1.914750706470331e-56,0.19405215438972784,0.25863795091170355,97.9026541983671,0.8165349786329201,0.802872725739601,0.8301972315262393,8398,8143,-0.03643464553032383,0.01951723451497825,0.061930437722427456
pca_index,18,2,311564,0.25669663673771903,0.01457104068015444,1.8273318656431165e-69,0.21864367445449912,0.2824407187028141,117.67178096307586,0.785204545126792,0.7713440429262326,0.7990650473273515,9386,9200,0.27124928334235016,0.015057206750924586,1.4970796046614465e-72,0.23200341521193263,0.29744962674997993,108.56458422382887,0.751757874028977,0.7369336051901165,0.7665821428678374,9081,8791,0.014552646604631125,0.020953154932916534,0.4873483407329229
pca_index,18,3,311211,0.297073692576688,0.010615349965774762,2.4535721191283577e-172,0.27244298489942337,0.3225047556799279,229.48792960494336,0.7585835347874239,0.7479402019691389,0.7692268676057089,18807,18735,0.2794436016089452,0.010448617549107555,1.4287463889602147e-157,0.25566892621079756,0.30491681246280483,229.98965047144586,0.7349345099905668,0.7243129415481009,0.7455560784330326,19383,19678,-0.017630090967742762,0.014894940872101258,0.2365597694413406
pca_index,18,4,312578,0.273659117386442,0.012261066681671448,2.397152519996947e-110,0.24365306696558092,0.30130632923191386,168.2434209436341,0.7653577947917395,0.7531009011167987,0.7776146884666802,13970,13498,0.2684919257679695,0.013590022852296145,7.046320244905259e-87,0.23286172894375326,0.2937934434242997,137.25887078862536,0.7283232410920225,0.7145469796863739,0.7420995024976711,11734,11443,-0.005167191618472511,0.01830361924042142,0.777710138373124
pca_index,18,5,314318,0.23465372121836203,0.01420467928489779,2.6573899745133597e-61,0.1974290317392666,0.26072443053373884,128.82502787477242,0.7443359836679547,0.7301389723484739,0.7585329949874355,10769,10233,0.26434726310326906,0.010988338508639452,7.039711370656195e-128,0.2399908918327538,0.2916767307046644,210.9119065835547,0.7090691681390175,0.6977035395189397,0.7204347967590954,18465,18037,0.029693541884907027,0.01795874429817556,0.09824320822527355
pca_index,18,6,311051,0.19180537579667434,0.013215762999942067,9.968661582702404e-48,0.15708754050523097,0.2157913635708886,156.40951420536075,0.7212169123568041,0.7080287032598598,0.7344051214537484,12812,12496,0.2301984196704721,0.011852532944660677,5.041471466996452e-84,0.19937990927747717,0.2536234406222866,187.96205590476737,0.6944257002105356,0.6821880140526658,0.7066633863684054,16243,15712,0.03839304387379777,0.01775215279550355,0.030562253759600866
pca_index,18,7,310952,0.20031019604096212,0.010268049609956588,9.369024063719261e-85,0.1752652017285945,0.22371437944654327,256.6300626009355,0.7298866218419294,0.7193811995924598,0.740392044091399,21398,21196,0.16006260746137457,0.015698007934533062,2.0583399490820105e-24,0.11907321720014233,0.18767114153762596,115.03202274448721,0.6663249404575269,0.650641420657701,0.6820084602573527,9394,9485,-0.040247588579587545,0.01875793954316925,0.031902549335969255
pca_index,18,8,312322,0.14858132089678955,0.014907968323749993,2.13472424382567e-23,0.10955360498949329,0.17622681594076972,122.80744658435601,0.7215699650379908,0.7065299474229187,0.7366099826530628,9846,9651,0.1959892497346763,0.01083067665242777,3.442072031482814e-73,0.16951253091631066,0.22055941703874574,230.32213536422384,0.6699063705298562,0.6587061147577236,0.6811066263019889,19880,19965,0.04740792883788675,0.018426911740478304,0.010089260846403603
